player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Christian Bassogog,MF,Cameroon,27-054,Shanghai Shen,1995,1,0,24,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Christian Eriksen,MF,Denmark,30-300,Manchester Utd,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.06,0.14,0.20,0.06,0.20
Christian Fassnacht,FW,Switzerland,29-030,Young Boys,1993,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,2.58,0.00,2.58,2.58,2.58
Christian Nørgaard,MF,Denmark,28-276,Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Christian Pulisic,FW,United States,24-084,Chelsea,1998,4,4,315,3.5,1,2,1,0,0,0,0,0.29,0.57,0.86,0.29,0.86,1.1,1.1,0.9,2.0,0.30,0.26,0.56,0.30,0.56
Christopher Wooh,DF,Cameroon,21-084,Rennes,2001,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
Cody Gakpo,FW,Netherlands,23-218,PSV Eindhoven,1999,5,5,450,5.0,3,0,3,0,0,0,0,0.60,0.00,0.60,0.60,0.60,0.3,0.3,0.6,0.9,0.06,0.12,0.18,0.06,0.18
Collins Fai,DF,Cameroon,30-120,Al-Ta'ee,1992,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
Connor Roberts,DF,Wales,27-079,Burnley,1995,3,2,200,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.16,0.16,0.00,0.16
Craig Goodwin,MF,Australia,30-360,Adelaide,1991,4,3,234,2.6,1,1,1,0,0,0,0,0.38,0.38,0.77,0.38,0.77,0.3,0.3,0.6,0.9,0.11,0.25,0.36,0.11,0.36
Cristian Romero,DF,Argentina,24-228,Tottenham,1998,5,4,337,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Cristiano Ronaldo,FW,Portugal,37-309,Manchester Utd,1985,5,3,290,3.2,1,0,0,1,1,0,0,0.31,0.00,0.31,0.00,0.00,1.6,0.8,0.1,1.0,0.51,0.04,0.55,0.26,0.30
Cyle Larin,FW,Canada,27-238,Club Brugge,1995,3,2,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.16,0.34,0.49,0.16,0.49
César Azpilicueta,DF,Spain,33-105,Chelsea,1989,2,2,135,1.5,0,1,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,0.0,0.0,0.7,0.7,0.00,0.45,0.45,0.00,0.45
César Montes,DF,Mexico,25-290,Monterrey,1997,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.2,0.2,0.5,0.7,0.06,0.17,0.23,0.06,0.23
Daichi Kamada,FW,Japan,26-128,Eint Frankfurt,1996,4,4,322,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.7,0.18,0.01,0.19,0.18,0.19
Daizen Maeda,FW,Japan,25-052,Celtic,1997,3,3,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,0.5,0.5,0.0,0.5,0.24,0.00,0.24,0.24,0.24
Daley Blind,DF,Netherlands,32-277,Ajax,1990,5,5,423,4.7,1,1,1,0,0,0,0,0.21,0.21,0.43,0.21,0.43,0.4,0.4,0.5,0.8,0.08,0.10,0.18,0.08,0.18
Damian Szymański,MF,Poland,27-178,AEK Athens,1995,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Dani Alves,DF,Brazil,39-219,UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14
Dani Carvajal,DF,Spain,30-334,Real Madrid,1992,2,1,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Dani Olmo,FW,Spain,24-218,RB Leipzig,1998,4,4,367,4.1,1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,1.4,1.4,0.5,1.9,0.34,0.11,0.46,0.34,0.46
Daniel Amartey,DF,Ghana,27-355,Leicester City,1994,3,3,251,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.08,0.03,0.10,0.08,0.10
Daniel Chacón,MF,Costa Rica,21-244,CS Cartaginés,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Daniel James,FW,Wales,25-031,Fulham,1997,3,2,154,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Daniel Kyereh,MF,Ghana,26-278,Freiburg,1996,3,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Danilo,DF,Brazil,31-149,Juventus,1991,3,3,281,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Danilo Pereira,DF,Portugal,31-093,Paris S-G,1991,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Danny Ward,GK,Wales,29-172,Leicester City,1993,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Darko Lazović,DF,Serbia,32-087,Hellas Verona,1990,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05
Darwin Núñez,FW,Uruguay,23-170,Liverpool,1999,3,3,240,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.14,0.09,0.23,0.14,0.23
David Raum,DF,Germany,24-233,RB Leipzig,1998,3,3,242,2.7,0,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,0.0,0.0,0.6,0.6,0.00,0.22,0.22,0.00,0.22
David Wotherspoon,MF,Canada,32-329,St Johnstone,1990,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Davy Klaassen,MF,Netherlands,29-293,Ajax,1993,4,3,190,2.1,1,2,1,0,0,0,0,0.47,0.95,1.42,0.47,1.42,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25
Dayot Upamecano,DF,France,24-045,Bayern Munich,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02
DeAndre Yedlin,DF,United States,29-155,Inter Miami,1993,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Declan Rice,MF,England,23-331,West Ham,1999,5,5,417,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Dejan Lovren,DF,Croatia,33-159,Zenit,1989,5,5,510,5.7,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03
Denis Odoi,DF,Ghana,34-198,Club Brugge,1988,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Denis Zakaria,MF,Switzerland,26-021,Chelsea,1996,2,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07
Denzel Dumfries,DF,Netherlands,26-237,Inter,1996,5,5,479,5.3,1,2,1,0,0,2,1,0.19,0.38,0.56,0.19,0.56,0.4,0.4,0.3,0.7,0.08,0.06,0.14,0.08,0.14
Devis Epassy,GK,Cameroon,29-312,Abha,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Diego Godín,DF,Uruguay,36-298,Vélez Sarsf,1986,2,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03
Diogo Costa,GK,Portugal,23-083,Porto,1999,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Diogo Dalot,DF,Portugal,23-268,Manchester Utd,1999,3,3,258,2.9,0,2,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,0.0,0.0,0.7,0.8,0.01,0.25,0.26,0.01,0.26
Djibril Sow,MF,Switzerland,25-308,Eint Frankfurt,1997,4,4,264,2.9,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.2,0.2,0.2,0.3,0.06,0.06,0.12,0.06,0.12
Djorkaeff Reasco,FW,Ecuador,23-327,Newell's OB,1999,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Dominik Livaković,GK,Croatia,27-336,Dinamo Zagreb,1995,5,5,510,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Dries Mertens,MF,Belgium,35-219,Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.94,0.17,1.11,0.94,1.11
Dušan Tadić,MF,Serbia,34-021,Ajax,1988,3,3,257,2.9,0,2,0,0,0,0,0,0.00,0.70,0.70,0.00,0.70,0.1,0.1,0.7,0.8,0.03,0.25,0.28,0.03,0.28
Dušan Vlahović,FW,Serbia,22-317,Juventus,2000,2,1,79,0.9,1,0,1,0,0,0,0,1.14,0.00,1.14,1.14,1.14,0.8,0.8,0.0,0.8,0.92,0.00,0.92,0.92,0.92
Dylan Bronn,DF,Tunisia,27-175,Salernitana,1995,2,2,162,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04
Eden Hazard,MF,Belgium,31-338,Real Madrid,1991,3,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.01,0.05,0.04,0.05
Ederson,GK,Brazil,29-116,Manchester City,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Edimilson Fernandes,FW,Switzerland,26-240,Mainz 05,1996,3,1,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.02,0.21,0.23,0.02,0.23
Edinson Cavani,FW,Uruguay,35-300,Valencia,1987,3,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.7,1.0,0.21,0.50,0.71,0.21,0.71
Edouard Mendy,GK,Senegal,30-285,Chelsea,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Edson Álvarez,MF,Mexico,25-048,Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.11,0.12,0.01,0.12
Eduardo Camavinga,DF,France,20-031,Real Madrid,2002,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Ehsan Hajsafi,MF,IR Iran,32-289,AEK Athens,1990,3,3,237,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.06,0.08,0.15,0.06,0.15
Ellyes Skhiri,MF,Tunisia,27-215,Köln,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07
Emiliano Martínez,GK,Argentina,30-100,Aston Villa,1992,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Enner Valencia,FW,Ecuador,33-037,Fenerbahçe,1989,3,3,255,2.8,3,0,2,1,1,0,0,1.06,0.00,1.06,0.71,0.71,2.3,1.5,0.3,1.8,0.80,0.10,0.90,0.52,0.62
Enzo Ebosse,DF,Cameroon,23-275,Udinese,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Enzo Fernández,MF,Argentina,21-328,Benfica,2001,5,3,354,3.9,1,1,1,0,0,0,0,0.25,0.25,0.51,0.25,0.51,0.2,0.2,0.6,0.8,0.05,0.17,0.22,0.05,0.22
Eray Cömert,DF,Switzerland,24-310,Valencia,1998,2,0,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Eric Dier,DF,England,28-330,Tottenham,1994,2,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Eric Maxim Choupo-Moting,FW,Cameroon,33-263,Bayern Munich,1989,3,3,253,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.8,0.8,0.0,0.9,0.29,0.02,0.31,0.29,0.31
Erick Gutiérrez,MF,Mexico,27-179,PSV Eindhoven,1995,1,0,49,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ethan Ampadu,MF,Wales,22-088,Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.04,0.05,0.01,0.05
Everton Ribeiro,MF,Brazil,33-245,Flamengo,1989,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.21,0.21,0.00,0.21
Exequiel Palacios,MF,Argentina,24-067,Leverkusen,1998,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.19,0.18,0.37,0.19,0.37
Fabian Frei,MF,Switzerland,33-337,Basel,1989,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Fabian Rieder,FW,Switzerland,20-298,Young Boys,2002,2,1,68,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.25,0.25,0.00,0.25
Fabian Schär,DF,Switzerland,30-356,Newcastle Utd,1991,2,2,135,1.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09
Fabinho,MF,Brazil,29-049,Liverpool,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Facundo Pellistri,MF,Uruguay,20-356,Manchester Utd,2001,3,2,181,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.08,0.09,0.17,0.08,0.17
Famara Diedhiou,FW,Senegal,29-361,Alanyaspor,1992,2,1,92,1.0,1,0,1,0,0,0,0,0.98,0.00,0.98,0.98,0.98,0.2,0.2,0.0,0.2,0.19,0.03,0.22,0.19,0.22
Federico Valverde,MF,Uruguay,24-142,Real Madrid,1998,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.06,0.14,0.20,0.06,0.20
Ferjani Sassi,MF,Tunisia,30-268,Al Duhail SC,1992,2,0,48,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
Ferrán Torres,FW,Spain,22-285,Barcelona,2000,4,3,217,2.4,2,0,1,1,1,0,0,0.83,0.00,0.83,0.41,0.41,1.0,0.2,0.2,0.4,0.42,0.07,0.50,0.10,0.17
Filip Kostić,DF,Serbia,30-040,Juventus,1992,2,2,179,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03
Filip Mladenović,DF,Serbia,31-118,Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03
Filip Đuričić,MF,Serbia,30-315,Sampdoria,1992,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.23,0.23,0.00,0.23
Firas Al-Buraikan,MF,Saudi Arabia,22-211,Al-Fateh,2000,3,3,268,3.0,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
Fodé Ballo-Touré,DF,Senegal,25-342,Milan,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Fran Karačić,DF,Australia,26-213,Brescia,1996,2,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.17,0.09,0.27,0.17,0.27
Francisco Calvo,DF,Costa Rica,30-156,Konyaspor,1992,2,2,180,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Fred,MF,Brazil,29-281,Manchester Utd,1993,4,2,142,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.6,0.23,0.16,0.39,0.23,0.39
Frenkie de Jong,MF,Netherlands,25-213,Barcelona,1997,5,5,475,5.3,1,1,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,0.9,0.9,0.2,1.1,0.18,0.04,0.22,0.18,0.22
Félix Torres Caicedo,DF,Ecuador,25-334,Santos,1997,3,3,270,3.0,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.4,0.6,0.04,0.15,0.19,0.04,0.19
Gabriel Jesus,FW,Brazil,25-252,Arsenal,1997,3,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.35,0.23,0.58,0.35,0.58
Garang Kuol,FW,Australia,18-087,Central Coast,2004,2,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.92,0.00,0.92,0.92,0.92
Gareth Bale,FW,Wales,33-148,Los Angeles FC,1989,3,3,225,2.5,1,0,0,1,1,1,0,0.40,0.00,0.40,0.00,0.00,0.8,0.0,0.2,0.2,0.32,0.08,0.41,0.01,0.09
Gavi,MF,Spain,18-128,Barcelona,2004,4,4,284,3.2,1,0,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
Gaël Ondoua,MF,Cameroon,27-037,Hannover 96,1995,2,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Georges-Kévin N'Koudou,FW,Cameroon,27-301,Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.13,0.00,0.13,0.13,0.13
Germán Pezzella,DF,Argentina,31-167,Betis,1991,2,0,55,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.24,0.00,0.24,0.24,0.24
Gerson Torres,MF,Costa Rica,25-105,Club Sport Herediano,1997,1,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
Ghaylène Chaalali,MF,Tunisia,28-286,Espérance de Tunis,1994,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Gideon Mensah,DF,Ghana,24-146,Auxerre,1998,1,1,87,1.0,0,1,0,0,0,0,0,0.00,1.03,1.03,0.00,1.03,0.0,0.0,0.3,0.3,0.00,0.28,0.28,0.00,0.28
Gio Reyna,FW,United States,20-028,Dortmund,2002,2,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.10,0.28,0.38,0.10,0.38
Giorgian De Arrascaeta,MF,Uruguay,28-193,Flamengo,1994,2,1,108,1.2,2,0,2,0,0,0,0,1.67,0.00,1.67,1.67,1.67,1.2,1.2,0.5,1.7,1.01,0.45,1.45,1.01,1.45
Gleison Bremer,DF,Brazil,25-268,Juventus,1997,2,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.14,0.00,0.14,0.14,0.14
Gonzalo Montiel,DF,Argentina,25-344,Sevilla,1997,3,1,88,1.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05
Gonzalo Plata,MF,Ecuador,22-040,Valladolid,2000,3,3,269,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11
Gonçalo Ramos,FW,Portugal,21-174,Benfica,2001,4,2,152,1.7,3,1,3,0,0,0,0,1.78,0.59,2.37,1.78,2.37,1.6,1.6,0.4,1.9,0.93,0.21,1.13,0.93,1.13
Granit Xhaka,MF,Switzerland,30-075,Arsenal,1992,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.08,0.02,0.10,0.08,0.10
Gregor Kobel,GK,Switzerland,25-005,Dortmund,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Grzegorz Krychowiak,MF,Poland,32-316,Al-Shabab,1990,4,4,332,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.01,0.05,0.05,0.01,0.05
Guido Rodríguez,MF,Argentina,28-243,Betis,1994,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Guillermo Ochoa,GK,Mexico,37-151,América,1985,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Guillermo Varela,DF,Uruguay,29-262,Flamengo,1993,3,2,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05
Haji Wright,FW,United States,24-259,Antalyaspor,1998,4,1,137,1.5,1,0,1,0,0,0,0,0.66,0.00,0.66,0.66,0.66,0.5,0.5,0.0,0.6,0.35,0.02,0.37,0.35,0.37
Hakim Ziyech,FW,Morocco,29-267,Chelsea,1993,5,5,455,5.1,1,1,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,0.3,0.3,0.6,0.9,0.06,0.13,0.19,0.06,0.19
Hannibal Mejbri,MF,Tunisia,19-324,Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Haris Seferović,FW,Switzerland,30-292,Galatasaray,1992,3,0,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.24,0.03,0.27,0.24,0.27
Harry Kane,FW,England,29-136,Tottenham,1993,5,5,402,4.5,2,3,1,1,2,0,0,0.45,0.67,1.12,0.22,0.90,2.7,1.1,1.5,2.6,0.60,0.34,0.94,0.25,0.59
Harry Maguire,DF,England,29-281,Manchester Utd,1993,5,5,429,4.8,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,0.4,0.4,0.0,0.4,0.08,0.01,0.09,0.08,0.09
Harry Souttar,DF,Australia,24-050,Stoke City,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03
Harry Wilson,MF,Wales,25-264,Fulham,1997,3,2,160,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.05,0.28,0.33,0.05,0.33
Hassan Al Tambakti,DF,Saudi Arabia,23-305,Al-Shabab,1999,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Hassan Al-Haydos,MF,Qatar,32-000,Al Sadd SC,1990,3,3,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.01,0.27,0.27,0.01,0.27
Hattan Bahebri,MF,Saudi Arabia,30-148,Al-Shabab,1992,2,0,4,0.0,0,1,0,0,0,1,0,0.00,22.50,22.50,0.00,22.50,0.0,0.0,0.6,0.6,0.00,14.37,14.37,0.00,14.37
